Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,2,0.4,0.75,0.2102803738317757,0.125,1,1,0.328125,0.10723155588020453,1
2,2,0.4,0.5,0.32242990654205606,0.125,1,0,0.671875,0.04660336011687363,1
4,2,0.0,0.0,0.34579439252336447,0.125,1,1,0.625,0.018553688823959094,1
3,2,0.4,0.5,0.5,0.125,0,1,0.171875,0.370781592403214,1
4,2,0.0,1.0,0.7009345794392523,0.375,1,1,0.703125,0.2097881665449233,1
0,2,0.2,0.5,0.6635514018691588,0.125,1,0,0.9375,0.3060628195763331,1
1,2,0.2,0.5,0.4532710280373832,0.125,2,0,0.4375,0.3582176771365961,1
2,2,0.6,1.0,0.2102803738317757,0.125,0,1,0.625,0.053469685902118334,1
4,2,0.4,0.0,0.2523364485981308,0.125,0,0,0.25,0.13469685902118333,1
3,2,0.2,0.0,0.5841121495327103,0.125,1,0,0.984375,0.2619430241051863,1
4,2,0.2,0.5,0.3878504672897196,0.125,2,1,0.796875,0.02293644996347699,1
0,2,0.6,0.0,0.04205607476635514,0.5,2,1,0.953125,0.042512783053323594,1
1,2,0.2,0.0,0.37850467289719625,0.125,2,1,0.9375,0.12841490138787437,1
2,2,0.4,1.0,0.7710280373831776,0.0,0,1,0.75,0.2986121256391527,1
4,2,0.2,0.25,0.4953271028037383,0.125,1,1,0.75,0.27465303140978814,1
3,2,0.2,0.25,0.06074766355140187,0.125,2,0,0.21875,0.10357925493060628,1
4,2,0.2,0.5,0.2897196261682243,0.125,1,0,0.078125,0.1281227173119065,1
0,2,0.4,0.25,0.6308411214953271,0.25,2,0,0.078125,0.22074506939371805,1
1,2,0.2,1.0,0.514018691588785,0.125,2,1,0.59375,0.2816654492330168,1
2,2,0.6,0.0,0.4252336448598131,0.25,0,1,0.203125,0.4160701241782323,1
4,2,0.6,1.0,0.6261682242990654,0.0,1,0,0.015625,0.17940102264426588,1
3,2,0.6,1.0,0.6355140186915887,0.125,2,0,0.5,0.29174579985390797,1
4,2,0.4,1.0,0.5560747663551402,0.125,2,0,0.3125,0.4357925493060628,1
0,2,0.8,0.0,0.6635514018691588,0.5,1,0,0.1875,0.21051862673484295,1
1,2,0.4,0.0,0.794392523364486,0.125,1,0,0.34375,0.4052593133674215,1
2,2,0.0,0.5,0.2897196261682243,0.0,2,0,0.546875,0.11497443389335281,1
4,2,0.2,0.5,0.0794392523364486,0.125,1,0,0.65625,0.07552958363769174,1
3,2,0.2,0.75,0.5934579439252337,0.125,1,1,0.265625,0.4321402483564646,1
4,2,0.2,1.0,0.7523364485981309,0.0,2,0,0.859375,0.39590942293645,1
0,2,0.2,0.75,0.3925233644859813,0.0,2,0,0.75,0.137472607742878,1
1,2,0.0,1.0,0.16822429906542055,0.125,1,1,0.265625,0.11073776479181885,1
2,2,0.4,0.75,0.5654205607476636,0.125,0,0,0.390625,0.2737764791818846,1
4,2,0.6,1.0,0.308411214953271,0.125,0,0,0.46875,0.05303140978816655,1
3,2,0.4,1.0,0.4719626168224299,0.0,2,0,0.609375,0.24967129291453616,1
4,2,0.2,0.75,0.4719626168224299,0.125,2,1,0.1875,0.16756756756756758,1
0,2,0.4,0.0,0.4158878504672897,0.0,1,1,0.671875,0.2788897005113221,1
1,2,0.8,0.25,0.8504672897196262,0.125,2,0,0.03125,0.2882395909422936,1
2,2,0.2,0.5,0.6214953271028038,0.125,1,1,0.75,0.19547114682249817,1
4,2,0.4,0.0,0.4205607476635514,0.25,2,0,0.875,0.4205989773557341,1
3,2,0.6,0.5,0.3644859813084112,0.5,0,0,0.625,0.01227173119065011,1
4,2,0.6,1.0,0.8878504672897196,0.125,1,0,0.265625,0.3158509861212564,1
0,2,0.4,0.75,0.3691588785046729,0.0,2,0,0.09375,0.027319211102994886,1
1,2,0.2,0.5,0.5747663551401869,0.125,2,0,0.25,0.3485756026296567,1
2,2,0.4,0.0,0.5467289719626168,0.25,0,0,0.53125,0.19605551497443388,1
4,2,0.0,0.5,0.6495327102803738,0.125,1,1,0.875,0.15091307523739955,1
3,2,0.2,0.5,0.24766355140186916,0.0,2,1,0.265625,0.03272461650840029,1
4,2,0.4,0.0,0.8177570093457944,0.0,2,0,0.109375,0.20452885317750183,1
0,2,0.2,1.0,0.22429906542056074,0.25,2,1,0.0625,0.015047479912344777,1
1,2,0.4,0.25,0.22897196261682243,0.0,2,1,0.3125,0.0899926953981008,1
2,2,0.6,0.5,0.21962616822429906,0.0,2,1,0.90625,0.12213294375456538,1
4,2,0.6,1.0,0.6121495327102804,0.25,1,1,0.8125,0.2371073776479182,1
3,2,0.0,0.0,0.5467289719626168,0.125,1,1,0.4375,0.25288531775018264,1
4,2,0.6,0.0,0.22429906542056074,0.25,1,1,0.5625,0.09598246895544194,1
0,2,0.2,0.5,0.5700934579439252,0.125,1,1,0.03125,0.18319941563184805,1
1,2,0.4,0.25,0.22429906542056074,0.125,2,1,0.90625,0.08575602629656684,1
2,2,0.2,0.0,0.6635514018691588,0.125,1,1,0.25,0.2371073776479182,1
4,2,0.4,1.0,0.5607476635514018,0.125,0,1,0.390625,0.15368882395909422,1
3,2,0.4,1.0,0.6635514018691588,0.125,0,0,0.84375,0.3295836376917458,1
4,2,0.4,0.0,0.2102803738317757,0.125,2,1,0.71875,0.03637691745799854,1
0,1,0.2,0.0,0.2897196261682243,0.0,1,1,0.015625,0.041344046749452155,1
1,1,0.4,0.25,0.6682242990654206,0.125,1,0,1.0,0.3912344777209642,1
2,1,0.4,0.5,0.3691588785046729,0.0,1,1,0.375,0.11906501095690285,1
4,1,0.2,0.25,0.780373831775701,0.125,1,1,0.625,0.26530314097881663,1
3,1,0.2,1.0,0.3364485981308411,0.0,0,1,0.765625,0.08984660336011688,1
4,1,0.2,0.75,0.37383177570093457,0.125,0,1,0.546875,0.11365960555149744,1
0,1,0.4,0.0,0.2523364485981308,0.25,0,1,0.921875,0.003360116873630387,1
1,1,0.4,0.5,0.7897196261682243,0.0,2,0,0.46875,0.19357195032870708,1
2,1,0.0,1.0,0.780373831775701,0.125,1,0,0.0625,0.2842951059167275,1
4,1,0.6,0.0,0.22897196261682243,0.125,1,1,0.296875,0.056391526661796934,1
3,1,0.4,0.25,0.40654205607476634,0.125,1,0,0.5,0.254200146092038,1
4,1,0.2,0.5,0.5093457943925234,0.125,2,0,0.28125,0.17034331628926225,1
0,1,0.4,0.25,0.29906542056074764,0.125,1,1,0.984375,0.104163623082542,1
1,1,0.2,0.5,0.7289719626168224,0.0,2,0,0.734375,0.1608473338203068,1
2,1,0.6,1.0,0.5887850467289719,0.125,1,1,0.140625,0.1868517165814463,1
4,1,0.2,0.5,0.5,0.0,1,1,0.375,0.38071585098612126,1
3,1,0.4,1.0,0.5794392523364486,0.125,2,1,0.609375,0.36742147552958365,1
4,1,0.2,0.5,0.2383177570093458,0.25,1,0,0.921875,0.10533235938641344,1
0,1,0.4,0.75,0.48598130841121495,0.25,2,1,0.234375,0.15471146822498175,1
1,1,0.4,1.0,0.5981308411214953,0.25,2,1,0.3125,0.14974433893352812,1
2,1,0.2,1.0,0.3878504672897196,0.0,1,0,0.25,0.05303140978816655,1
4,1,0.2,0.75,0.22429906542056074,0.125,1,1,0.765625,0.12622352081811541,1
3,0,0.6,0.25,0.705607476635514,0.125,1,1,0.25,0.42191380569758946,1
4,0,0.6,0.75,0.8598130841121495,0.5,2,0,0.78125,0.37706355003652303,1
0,0,0.2,0.5,0.3364485981308411,0.0,2,0,0.0,0.12096420745069393,1
1,0,0.2,1.0,0.2850467289719626,0.125,2,0,0.046875,0.12972972972972974,1
2,0,0.2,0.5,0.43457943925233644,0.25,2,0,0.78125,0.17633308984660337,1
4,0,0.2,1.0,0.308411214953271,0.0,2,1,0.09375,0.10781592403214024,1
3,0,0.4,0.0,0.5186915887850467,0.375,1,1,0.734375,0.20423666910153396,1
4,0,0.6,0.0,0.6588785046728972,0.0,1,0,0.140625,0.41767713659605554,1
0,0,0.4,0.75,0.7850467289719626,0.125,0,1,0.90625,0.14886778670562453,1
1,0,0.6,0.75,0.24766355140186916,0.125,1,1,0.78125,0.09408327246165084,1
2,0,0.6,1.0,0.308411214953271,0.125,1,1,0.625,0.06734842951059167,1
4,0,0.0,0.0,0.5093457943925234,0.25,2,0,0.96875,0.168736303871439,1
3,0,0.0,0.0,0.2897196261682243,0.125,2,0,0.78125,0.07874360847333821,1
4,0,0.0,0.25,0.7102803738317757,0.0,1,1,0.703125,0.39532505478451424,1
0,0,0.2,1.0,0.4439252336448598,0.125,1,1,0.34375,0.4016070124178232,1
1,0,0.4,0.5,0.2336448598130841,0.25,2,0,0.359375,0.12315558802045289,1
2,0,0.2,0.5,0.1822429906542056,0.125,1,1,0.859375,0.0714390065741417,1
4,0,0.6,0.0,0.24766355140186916,0.125,1,1,0.609375,0.008911614317019723,1
3,0,0.4,0.75,0.5794392523364486,0.0,2,0,0.09375,0.2264426588750913,1
4,0,0.6,0.5,0.009345794392523364,0.375,2,1,0.671875,0.03915266617969321,1
0,0,0.2,0.75,0.004672897196261682,0.25,1,1,0.484375,0.03462381300219138,1
1,0,0.2,0.5,0.40654205607476634,0.0,1,1,0.8125,0.4281957633308985,1
2,2,0.2,0.5,0.308411214953271,0.125,2,0,0.109375,0.12680788897005113,1
4,2,0.6,0.0,0.08411214953271028,0.25,1,0,0.71875,0.06457268078889701,1
3,2,0.8,0.5,0.8364485981308412,0.375,1,1,0.625,0.2176771365960555,1
4,2,0.2,0.25,0.5,0.0,2,0,0.59375,0.41548575602629656,1
0,2,0.6,1.0,0.5093457943925234,0.0,0,1,1.0,0.39006574141709277,1
1,2,0.2,0.5,0.24766355140186916,0.125,1,0,0.96875,0.13805697589481372,1
2,2,0.0,0.25,0.07476635514018691,0.25,2,1,0.859375,0.020014609203798394,1
4,2,0.2,0.0,0.5186915887850467,0.125,2,0,0.859375,0.36245434623813,1
3,2,0.4,0.0,0.7710280373831776,0.25,1,0,0.890625,0.35441928414901386,1
4,2,0.6,0.25,0.8317757009345794,0.125,2,1,0.078125,0.3468224981738495,1
0,2,0.2,1.0,0.2102803738317757,0.0,1,1,0.796875,0.10094959824689555,1
1,2,0.2,0.5,0.32710280373831774,0.25,2,0,0.25,0.07260774287801315,1
2,2,0.6,0.25,0.2102803738317757,0.125,0,0,0.515625,0.0027757487216946678,1
4,2,0.4,1.0,0.2616822429906542,0.125,1,1,0.65625,0.10343316289262235,1
3,2,0.4,0.25,0.719626168224299,0.125,1,0,0.8125,0.21577794010226442,1
4,2,0.4,0.5,0.3037383177570093,0.125,2,0,0.421875,0.11804236669101534,1
0,2,0.4,0.5,0.4158878504672897,0.125,2,0,0.140625,0.1843681519357195,1
1,2,0.4,0.75,0.37383177570093457,0.25,0,0,0.796875,0.013878743608473338,1
2,2,0.2,0.75,0.24299065420560748,0.125,1,1,0.859375,0.0802045288531775,1
4,2,0.2,0.25,0.8130841121495327,0.125,1,0,0.96875,0.2556610664718773,1
3,2,0.2,0.5,0.6822429906542056,0.125,1,0,0.78125,0.42863403944485023,1
4,2,0.4,0.75,0.2523364485981308,0.0,2,1,0.03125,0.041490138787436084,1
0,2,0.4,1.0,0.4485981308411215,0.125,0,1,0.296875,0.41943024105186266,1
1,2,0.4,1.0,0.09345794392523364,0.125,2,1,0.828125,0.04572680788897005,1
2,2,0.2,0.5,0.4485981308411215,0.125,2,0,0.015625,0.43739956172388605,1
4,2,0.6,1.0,0.7429906542056075,0.25,2,1,0.03125,0.35631848064280497,1
3,2,0.4,0.0,0.3037383177570093,0.625,2,0,0.265625,0.04280496712929145,1
4,2,0.4,1.0,0.2850467289719626,0.125,1,1,0.296875,0.07100073046018993,1
0,2,0.2,0.25,0.3177570093457944,1.0,0,0,0.421875,0.13718042366691016,1
1,2,0.2,1.0,0.308411214953271,0.625,2,0,0.234375,0.007450693937180424,1
2,2,0.2,0.5,0.2336448598130841,0.0,1,1,0.765625,0.07085463842220599,1
4,2,0.2,0.25,0.5280373831775701,0.125,2,1,0.828125,0.2921840759678597,1
3,2,0.6,0.75,0.17757009345794392,0.0,2,0,0.84375,0.056245434623813005,1
4,2,0.0,0.0,0.5887850467289719,0.0,2,1,0.0625,0.40569758948137324,1
0,2,0.0,1.0,0.20093457943925233,0.125,1,0,0.40625,0.03389335281227173,1
1,2,0.0,0.75,0.17757009345794392,0.125,1,0,0.640625,0.060482103725346965,1
2,2,0.0,1.0,0.1588785046728972,0.125,1,1,0.234375,0.013294375456537619,1
4,2,0.0,1.0,0.17289719626168223,0.125,1,0,0.953125,0.08692476260043827,1
3,2,0.0,0.75,0.205607476635514,0.125,1,0,0.09375,0.05989773557341125,1
4,2,0.0,0.25,0.2897196261682243,0.125,1,1,0.421875,0.1412710007304602,1
0,2,0.4,0.25,0.8130841121495327,0.25,1,0,0.703125,0.10737764791818846,1
1,2,0.0,1.0,0.205607476635514,0.125,1,0,0.453125,0.004236669101533966,1
2,2,0.0,0.25,0.1822429906542056,0.125,1,1,0.21875,0.049379108838568296,1
4,2,0.0,0.5,0.18691588785046728,0.125,1,0,0.28125,0.08283418553688823,1
3,2,0.0,0.5,0.21495327102803738,0.125,2,0,0.578125,0.9699050401753104,1
4,2,0.0,0.25,0.27102803738317754,0.125,2,1,0.578125,1.0,1
0,2,0.0,0.5,0.20093457943925233,0.125,1,1,0.125,0.06866325785244703,1
1,2,0.0,0.5,0.29906542056074764,0.125,1,0,0.65625,0.036523009495982466,1
2,2,0.0,0.75,0.17757009345794392,0.125,1,1,0.890625,0.009642074506939371,1
4,2,0.6,0.5,0.3037383177570093,0.375,0,1,0.734375,0.12885317750182615,1
3,2,0.0,1.0,0.2757009345794392,0.125,1,1,0.34375,0.08780131482834186,1
4,2,0.0,0.5,0.22897196261682243,0.125,2,0,0.359375,0.9623082542001461,1
0,2,0.0,0.25,0.2850467289719626,0.125,1,1,0.0,0.06953981008035062,1
1,2,0.0,0.25,0.29906542056074764,0.125,1,1,0.734375,0.10080350620891161,1
2,2,0.0,0.75,0.2616822429906542,0.125,1,1,0.84375,0.07260774287801315,1
4,2,0.0,1.0,0.24299065420560748,0.125,0,0,0.15625,0.07319211102994887,1
3,2,0.0,0.0,0.14485981308411214,0.125,1,0,0.21875,0.07611395178962746,1
4,2,0.0,1.0,0.27102803738317754,0.125,1,0,0.3125,0.016362308254200146,1
0,2,0.0,1.0,0.14485981308411214,0.125,1,1,0.671875,0.04967129291453616,1
1,2,0.0,1.0,0.29906542056074764,0.125,2,0,0.46875,0.9349890430971513,1
2,2,0.0,0.75,0.1542056074766355,0.125,1,0,0.734375,0.03184806428049671,1
4,2,0.0,1.0,0.2897196261682243,0.125,1,0,0.609375,0.10533235938641344,1
3,2,0.4,0.5,0.4158878504672897,0.125,2,1,0.03125,0.3111760409057706,1
4,2,0.4,0.75,0.37383177570093457,0.25,0,0,0.96875,0.04265887509130752,1
0,2,0.2,0.75,0.24299065420560748,0.125,1,1,0.5625,0.0762600438276114,1
1,2,0.2,1.0,0.8130841121495327,0.125,1,1,0.921875,0.4213294375456538,1
2,2,0.2,0.75,0.6822429906542056,0.125,1,1,0.4375,0.20160701241782322,1
4,2,0.4,0.5,0.2523364485981308,0.0,2,1,0.46875,0.08575602629656684,1
3,2,0.4,0.25,0.4485981308411215,0.125,0,1,0.046875,0.15485756026296568,1
4,2,0.4,1.0,0.09345794392523364,0.125,2,0,0.125,0.04572680788897005,1
0,2,0.2,0.75,0.4485981308411215,0.125,2,0,0.46875,0.3403944485025566,1
1,2,0.6,0.75,0.7429906542056075,0.25,2,0,0.578125,0.25858290723155586,1
2,2,0.4,0.5,0.3037383177570093,0.625,2,1,0.96875,0.0723155588020453,1
4,2,0.4,0.25,0.2850467289719626,0.125,1,0,0.734375,0.057268078889700515,1
3,2,0.2,0.25,0.3177570093457944,1.0,0,1,0.203125,0.05463842220598977,1
4,2,0.2,0.5,0.308411214953271,0.625,2,0,0.640625,0.040467494521548575,1
0,2,0.2,0.0,0.2336448598130841,0.0,1,0,0.828125,0.07699050401753105,1
1,2,0.2,0.75,0.5280373831775701,0.125,2,0,0.921875,0.18100803506208912,1
2,2,0.6,1.0,0.17757009345794392,0.0,2,1,0.8125,0.0127100073046019,1
4,2,0.0,0.0,0.5887850467289719,0.0,2,1,0.890625,0.38349159970781593,1
3,2,0.0,0.0,0.20093457943925233,0.125,1,0,0.59375,0.08487947406866325,1
4,2,0.0,0.25,0.17757009345794392,0.125,1,1,0.578125,0.051278305332359386,1
0,2,0.0,0.5,0.1588785046728972,0.125,1,0,0.734375,0.1168736303871439,1
1,2,0.0,0.25,0.17289719626168223,0.125,1,1,0.0625,0.03900657414170928,1
2,2,0.0,0.5,0.205607476635514,0.125,1,0,0.34375,0.054200146092037986,1
4,2,0.0,0.5,0.2897196261682243,0.125,1,1,0.140625,0.07509130752373995,1
3,2,0.4,1.0,0.8130841121495327,0.25,1,1,1.0,0.1193571950328707,1
4,2,0.0,0.75,0.205607476635514,0.125,1,0,0.5,0.040467494521548575,1
0,2,0.0,0.25,0.1822429906542056,0.125,1,1,0.890625,0.1070854638422206,1
1,2,0.0,0.75,0.18691588785046728,0.125,1,1,0.65625,0.1398100803506209,1
2,2,0.0,0.0,0.21495327102803738,0.125,2,0,0.109375,0.7396639883126369,1
4,2,0.0,0.75,0.27102803738317754,0.125,2,0,0.734375,0.9763330898466034,1
3,2,0.0,0.5,0.20093457943925233,0.125,1,0,0.03125,0.11497443389335281,1
4,1,0.0,0.75,0.29906542056074764,0.125,1,0,0.765625,0.004236669101533966,1
0,1,0.0,0.25,0.17757009345794392,0.125,1,0,0.578125,0.0772826880934989,1
1,1,0.6,1.0,0.3037383177570093,0.375,0,0,0.828125,0.07450693937180423,1
2,1,0.0,0.5,0.2757009345794392,0.125,1,0,0.6875,0.09320672023374726,1
4,1,0.0,0.25,0.22897196261682243,0.125,2,0,0.0625,0.7452154857560263,1
3,1,0.0,0.0,0.2850467289719626,0.125,1,1,0.890625,0.13571950328707086,1
4,1,0.0,1.0,0.29906542056074764,0.125,1,0,0.28125,0.05814463111760409,1
0,1,0.0,0.25,0.2616822429906542,0.125,1,0,0.9375,0.11672753834915997,1
1,1,0.0,0.25,0.24299065420560748,0.125,0,0,0.53125,0.0508400292184076,1
2,1,0.0,0.25,0.14485981308411214,0.125,1,1,0.1875,0.018553688823959094,1
4,1,0.0,0.25,0.1542056074766355,0.125,2,0,0.328125,0.8200146092037984,1
3,1,0.0,0.5,0.2897196261682243,0.125,1,0,0.1875,0.03564645726807889,1
4,1,0.0,0.75,0.2383177570093458,0.125,1,1,0.0625,0.13425858290723156,1
0,1,0.0,1.0,0.29439252336448596,0.125,1,0,0.75,0.09057706355003653,1
1,1,0.0,0.5,0.2570093457943925,0.125,1,0,0.34375,0.13571950328707086,1
2,1,0.2,0.0,0.9252336448598131,0.25,1,0,0.796875,0.012856099342585829,1
4,1,0.2,0.25,0.6074766355140186,0.0,2,1,0.6875,0.06501095690284879,1
3,1,0.6,0.5,0.8177570093457944,0.375,0,1,0.125,0.11862673484295105,1
4,1,1.0,0.25,0.5,0.375,2,0,0.9375,0.12490869247626005,1
0,1,0.0,0.5,0.7850467289719626,0.25,1,0,0.140625,0.09452154857560263,1
1,1,0.4,0.0,0.7570093457943925,0.125,2,1,0.546875,0.17677136596055515,1
2,1,0.2,1.0,0.677570093457944,0.125,1,0,0.3125,0.30343316289262234,1
4,0,0.4,1.0,0.5233644859813084,0.125,2,1,0.34375,0.15412710007304603,1
3,0,0.2,0.25,0.5280373831775701,0.375,2,0,0.171875,0.29992695398100805,1
4,0,0.6,0.0,0.40186915887850466,0.0,2,0,0.34375,0.24923301680058438,1
0,0,0.4,1.0,0.24299065420560748,0.0,2,0,0.65625,0.01256391526661797,1
1,0,0.0,0.5,0.40654205607476634,0.0,2,0,0.796875,0.32111029948867786,1
2,0,0.2,1.0,0.6214953271028038,0.5,2,1,0.328125,0.25069393718042365,1
4,0,0.6,1.0,0.08878504672897196,0.375,1,0,0.390625,0.10094959824689555,1
3,0,0.4,0.25,0.18691588785046728,0.125,1,0,1.0,0.1403944485025566,1
4,0,0.4,0.75,0.5420560747663551,0.125,1,1,0.3125,0.3368882395909423,1
0,0,0.4,0.5,0.35046728971962615,0.125,1,0,0.359375,0.044265887509130755,1
1,0,0.2,0.0,0.2570093457943925,0.0,1,1,0.921875,0.1349890430971512,1
2,0,0.2,0.0,0.5093457943925234,0.125,2,1,0.59375,0.3010956902848795,1
4,0,0.6,0.75,0.2383177570093458,0.125,2,1,0.34375,0.019138056975894813,1
3,0,0.2,0.5,0.2757009345794392,0.125,1,0,0.4375,0.10387143900657414,1
4,0,0.6,0.75,0.32242990654205606,0.125,1,0,0.296875,0.021767713659605552,1
0,0,0.6,1.0,0.6261682242990654,0.125,1,0,0.484375,0.3284149013878744,1
1,0,0.0,0.75,0.397196261682243,0.25,2,1,0.1875,0.19108838568298028,1
2,0,0.6,0.5,0.6448598130841121,0.0,1,0,0.84375,0.3370343316289262,1
4,0,0.4,0.75,0.24766355140186916,0.125,1,1,0.515625,0.14258582907231557,1
3,0,0.6,1.0,0.2803738317757009,0.0,1,1,0.671875,0.08181154127100074,1
4,0,0.4,0.25,0.35514018691588783,0.125,2,0,0.90625,0.1252008765522279,1
0,0,0.4,0.75,0.8130841121495327,0.125,1,1,0.171875,0.33279766252739224,1
1,2,0.4,0.0,0.514018691588785,0.125,2,1,0.34375,0.4099342585829072,1
2,2,0.4,0.5,0.5373831775700935,0.25,2,1,0.609375,0.3075237399561724,1
4,2,0.2,0.25,0.18691588785046728,0.25,1,1,0.953125,0.01300219138056976,1
3,2,0.6,0.0,0.4205607476635514,0.0,0,0,0.796875,0.435354273192111,1
4,2,0.2,0.0,0.4953271028037383,0.0,2,1,0.953125,0.35018261504747994,1
0,2,0.4,0.25,0.40654205607476634,0.125,2,0,0.171875,0.38641344046749454,1
1,2,0.4,0.75,0.6355140186915887,0.0,1,1,0.546875,0.2717311906501096,1
2,2,0.4,0.25,0.2383177570093458,0.25,2,1,0.796875,0.018699780861943023,1
4,2,0.4,0.5,0.18691588785046728,0.125,2,1,0.296875,0.07742878013148284,1
3,2,0.6,0.5,0.14485981308411214,0.125,1,0,0.65625,0.06501095690284879,1
4,2,0.4,1.0,0.4953271028037383,0.0,2,1,0.53125,0.39357195032870707,1
0,2,0.2,0.75,0.677570093457944,0.0,1,1,0.875,0.39006574141709277,1
1,2,0.4,0.5,0.5887850467289719,0.0,2,1,0.84375,0.4137326515704894,1
2,2,0.2,0.25,0.40654205607476634,0.25,2,0,0.171875,0.2594594594594595,1
4,2,0.4,0.75,0.7149532710280374,0.125,2,0,0.546875,0.4043827611395179,1
3,2,0.2,0.0,0.6869158878504673,0.25,0,1,0.90625,0.41446311176040906,1
4,2,0.2,0.5,0.3130841121495327,0.125,2,1,0.125,0.037399561723886046,1
0,2,0.4,0.25,0.32242990654205606,0.0,0,1,0.15625,0.08692476260043827,1
